"Temperatura"
"61"
"54"
"64"
"62"
"55"
"74"
"75"
"77"
"75"
"74"
"73"
"60"
"68"
"69"
"58"
"67"
"58"
"71"
"58"
"58"
"74"
"65"
"58"
"68"
"66"
"58"
"59"
"69"
"57"
"66"
"79"
"76"
"68"
"68"
"59"
"67"
"59"
"68"
"57"
"68"
"67"
"57"
"63"
"57"
"67"
"69"
"58"
"71"
"59"
"68"
"69"
"60"
"67"
"66"
"57"
"67"
"70"
"79"
"58"
"65"
"65"
"57"
"57"
"67"
"67"
"57"
"64"
"59"
"66"
"68"
"69"
"67"
"57"
"58"
"66"
"57"
"57"
"63"
"57"
"67"
"64"
"64"
"56"
"56"
"66"
"66"
"65"
"56"
"65"
"55"
"56"
"65"
"66"
"56"
"65"
"65"
"55"
"56"
"65"
"55"
"56"
"64"
"63"
"64"
"66"
"56"
"57"
"66"
"66"
"67"
"60"
"56"
"56"
"65"
"64"
"55"
"55"
"66"
"69"
"69"
"56"
"65"
"67"
"66"
"68"
"56"
"56"
"67"
"54"
"55"
"54"
"54"
"54"
"54"
"53"
"54"
"53"
"53"
"53"
"52"
"54"
"52"
"53"
"52"
"52"
"52"
"51"
"52"
"51"
"51"
"51"
"50"
"51"
"51"
"51"
"50"
"60"
"50"
"51"
"50"
"50"
"50"
"51"
"52"
"51"
"52"
"63"
"51"
"59"
"52"
"52"
"58"
"50"
"52"
"50"
"52"
"68"
"52"
"52"
"52"
"53"
"52"
"51"
"51"
"51"
"50"
"68"
"52"
"53"
"52"
"52"
"52"
"51"
"51"
"51"
"52"
"62"
"55"
"55"
"55"
