processos 
nautilu   
Xorg      
gnome-s   
top       
sqlserv   
chrome    
systemd   
kthread   
rcu_gp    
rcu_par   
kworker   
mm_perc   
rcu_tas   
rcu_tas   
ksoftir   
rcu_sch   
migrati   
idle_in   
cpuhp/0   
cpuhp/1   
idle_in   
migrati   
ksoftir   
kworker   
cpuhp/2   
idle_in   
migrati   
ksoftir   
kworker   
cpuhp/3   
idle_in   
migrati   
ksoftir   
kworker   
kdevtmp   
netns     
inet_fr   
kauditd   
khungta   
oom_rea   
writeba   
kcompac   
ksmd      
khugepa   
kintegr   
kblockd   
blkcg_p   
tpm_dev   
ata_sff   
md        
edac-po   
devfreq   
watchdo   
kworker   
kswapd0   
ecryptf   
kthrotl   
irq/122   
acpi_th   
vfio-ir   
mld       
ipv6_ad   
kstrp     
zswap-s   
kworker   
charger   
kworker   
scsi_eh   
scsi_tm   
scsi_eh   
scsi_tm   
kworker   
irq/51-   
kworker   
jbd2/sd   
ext4-rs   
systemd   
loop0     
loop1     
loop2     
loop4     
loop5     
loop6     
loop7     
loop8     
loop9     
loop10    
loop11    
loop12    
loop13    
loop14    
systemd   
loop15    
cfg8021   
ath10k_   
ath10k_   
ath10k_   
cryptd    
card0-c   
card0-c   
card0-c   
kworker   
kmemsti   
systemd   
systemd   
account   
acpid     
avahi-d   
bluetoo   
cron      
dbus-da   
Network   
irqbala   
network   
polkitd   
rsyslog   
snapd     
switche   
systemd   
thermal   
udisksd   
wpa_sup   
avahi-d   
cups-br   
ModemMa   
sqlserv   
unatten   
gdm3      
mysqld    
iprt-VB   
iprt-VB   
apache2   
apache2   
apache2   
kernelo   
kernelo   
rserver   
rtkit-d   
upowerd   
loop16    
cupsd     
dbus      
colord    
gdm-ses   
systemd   
sd-pam    
pulseau   
tracker   
dbus-da   
gvfsd     
gvfsd-f   
gvfs-ud   
gvfs-gp   
gvfs-go   
goa-dae   
goa-ide   
gvfs-mt   
gvfs-af   
gnome-k   
krfcomm   
gdm-x-s   
gnome-s   
ssh-age   
at-spi-   
dbus-da   
gnome-s   
gnome-s   
dio/sda   
ibus-da   
xdg-per   
gnome-s   
ibus-me   
ibus-ex   
ibus-x1   
ibus-po   
evoluti   
at-spi2   
gjs       
dconf-s   
gsd-a11   
gsd-col   
gsd-dat   
gsd-hou   
gsd-key   
gsd-med   
gsd-pow   
gsd-pri   
gsd-rfk   
gsd-scr   
gsd-sha   
gsd-sma   
gsd-sou   
gsd-usb   
gsd-wac   
gsd-wwa   
gsd-xse   
ibus-en   
gsd-pri   
evoluti   
gsd-dis   
evoluti   
gvfsd-t   
snap-st   
xdg-doc   
evoluti   
xdg-des   
xdg-des   
chrome    
cat       
cat       
chrome_   
chrome_   
chrome    
chrome    
nacl_he   
chrome    
gvfsd-m   
update-   
chrome    
chrome    
chrome    
chrome    
chrome-   
chrome    
irq/127   
scsi_eh   
scsi_tm   
usb-sto   
uas       
mount.n   
seahors   
rstudio   
QtWebEn   
QtWebEn   
QtWebEn   
gvfsd-n   
gvfsd-d   
kworker   
rsessio   
kworker   
chrome    
kworker   
kworker   
kworker   
chrome    
kworker   
chrome    
chrome    
kworker   
chrome    
kworker   
kworker   
kworker   
chrome    
kworker   
chrome    
chrome    
chrome    
chrome    
chrome    
chrome    
chrome    
chrome    
chrome    
chrome    
chrome    
chrome    
chrome    
chrome    
chrome    
chrome    
chrome    
kworker   
kworker   
tracker   
gnome-t   
bash      
